StationUID,StationID,StationName,StationClass,LocationCity,LocationTown,LocationTownCode,PositionLon,PositionLat
TRA-7140,7140,新馬,5,宜蘭縣,蘇澳鎮,10002030,121.82292,24.61535
TRA-7150,7150,冬山,3,宜蘭縣,冬山鄉,10002080,121.79461,24.63511
TRA-7160,7160,羅東,2,宜蘭縣,羅東鎮,10002020,121.77424,24.67795
TRA-7170,7170,中里,5,宜蘭縣,五結鄉,10002090,121.77526,24.69415
TRA-7180,7180,二結,3,宜蘭縣,五結鄉,10002090,121.77411,24.70529
TRA-7190,7190,宜蘭,1,宜蘭縣,宜蘭市,10002010,121.75791,24.75462
TRA-7200,7200,四城,4,宜蘭縣,礁溪鄉,10002050,121.76268,24.78684
TRA-7210,7210,礁溪,3,宜蘭縣,礁溪鄉,10002050,121.77523,24.82705
TRA-7220,7220,頂埔,5,宜蘭縣,頭城鎮,10002040,121.80918,24.84383
TRA-7230,7230,頭城,2,宜蘭縣,頭城鎮,10002040,121.82253,24.85898
TRA-7240,7240,外澳,5,宜蘭縣,頭城鎮,10002040,121.84576,24.88371
TRA-7250,7250,龜山,4,宜蘭縣,頭城鎮,10002040,121.86886,24.90481
TRA-7260,7260,大溪,5,宜蘭縣,頭城鎮,10002040,121.88983,24.93836
TRA-7270,7270,大里,4,宜蘭縣,頭城鎮,10002040,121.92257,24.96688
TRA-7280,7280,石城,5,宜蘭縣,頭城鎮,10002040,121.94546,24.97837
TRA-7290,7290,福隆,3,新北市,貢寮區,65000260,121.94471,25.01598
TRA-7300,7300,貢寮,4,新北市,貢寮區,65000260,121.90649,25.02205
TRA-7310,7310,雙溪,2,新北市,雙溪區,65000250,121.86415,25.03861
TRA-7320,7320,牡丹,5,新北市,雙溪區,65000250,121.84974,25.05877
TRA-7330,7330,三貂嶺,3,新北市,瑞芳區,65000120,121.82259,25.06555
TRA-7331,7331,大華,5,新北市,平溪區,65000240,121.79751,25.04993
TRA-7332,7332,十分,4,新北市,平溪區,65000240,121.77514,25.04111
TRA-7333,7333,望古,5,新北市,平溪區,65000240,121.76349,25.03445
TRA-7334,7334,嶺腳,5,新北市,平溪區,65000240,121.74784,25.03021
TRA-7335,7335,平溪,4,新北市,平溪區,65000240,121.73994,25.02552
TRA-7336,7336,菁桐,4,新北市,平溪區,65000240,121.72394,25.02384
TRA-7350,7350,猴硐,3,新北市,瑞芳區,65000120,121.82741,25.08711
TRA-7360,7360,瑞芳,1,新北市,瑞芳區,65000120,121.80596,25.10861
TRA-7361,7361,海科館,5,基隆市,中正區,10017010,121.80003,25.13768
TRA-7362,7362,八斗子,5,新北市,瑞芳區,65000120,121.80411,25.13481
TRA-7380,7380,四腳亭,3,新北市,瑞芳區,65000120,121.76192,25.10281
TRA-7390,7390,暖暖,5,基隆市,暖暖區,10017030,121.74048,25.10224
